[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002648s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_end ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Run ShowPageTrace Behavior [ RunTime:0.000955s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_end ] --END-- [ RunTime:0.001074s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ route_check ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | INFO: Run CheckRoute Behavior [ RunTime:0.000344s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000473s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000369s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000450s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004333s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000690s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003699s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000570s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.004895s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.001101s ]
[ 2012-05-09T18:06:51+08:00 ] /index.php?s=/main/operations/ | NOTIC: [8] Use of undefined constant urlsite - assumed 'urlsite' MainAction.class.php 第 58 行.
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | INFO: Tag[ route_check ] --START--
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | INFO: Run CheckRoute Behavior [ RunTime:0.000418s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | INFO: Tag[ route_check ] --END-- [ RunTime:0.000541s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | INFO: Tag[ app_begin ] --START--
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000353s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000433s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.003845s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000650s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003326s ]
[ 2012-05-09T18:06:53+08:00 ] /index.php?s=/answer/load_more_answer | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000499s ]
